Mutual fund,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Vanguard Mid Cap Index Fund,1.17%,1680232,175617849,3494,+0.21%,LW
Fidelity 500 Index Fund,1.10%,1576756,164802537,2865,+0.18%,LW
SPDR S&P 500 ETF Trust,1.08%,1551198,162131215,4472,+0.29%,LW
iShares Core S&P 500 ETF,0.89%,1276919,133463574,172,+0.01%,LW
NBI US Equity Private Portfolio,0.81%,1159330,121173172,47602,+4.28%,LW
Vanguard Total Stock Market Index...,3.10%,13793225,1859740527,-628782,-4.36%,MPC
SPDR Series - Energy Select Secto...,2.97%,13237092,1784757114,182400,+1.40%,MPC
Vanguard 500 Index Fund,2.38%,10599681,1429154989,-286865,-2.64%,MPC
Fidelity 500 Index Fund,1.15%,5137723,692719192,9340,+0.18%,MPC
SPDR S&P 500 ETF Trust,1.11%,4929340,664622912,14092,+0.29%,MPC
iShares Core S&P 500 ETF,0.90%,4029459,543291957,542,+0.01%,MPC
Vanguard Value Index Fund,0.89%,3985336,537342853,-173819,-4.18%,MPC
Government Pension Fund - Global ...,0.85%,3774337,508893858,-2520464,-40.04%,MPC
Vanguard Energy Fund,0.82%,3629400,489352002,-23099,-0.63%,MPC
Vanguard Institutional Index Fund,0.79%,3531660,476173718,-39168,-1.10%,MPC
Dodge & Cox Stock Fund,3.19%,10409163,977316314,0,0.00%,LYB
Vanguard Total Stock Market Index...,2.48%,8078479,758488393,65076,+0.81%,LYB
Vanguard Equity Income Fund,1.92%,6260938,587839469,609065,+10.78%,LYB
Vanguard Mid Cap Index Fund,1.87%,6091499,571930841,11541,+0.19%,LYB
Vanguard 500 Index Fund,1.82%,5929749,556744134,28200,+0.48%,LYB
Vanguard Wellesley Income Fund,1.23%,4021410,377570185,345218,+9.39%,LYB
Schwab US Dividend Equity ETF,1.13%,3686906,346163604,2023,+0.05%,LYB
iShares Tr. - Select Dividend ETF,1.10%,3595387,337570885,-1948,-0.05%,LYB
Fidelity 500 Index Fund,0.85%,2784344,261422058,5059,+0.18%,LYB
Pacer Fds. Tr. - US Cash Cows 100...,0.85%,2776862,260719573,9054,+0.33%,LYB
Washington Mutual Investors Fund,4.28%,21188999,3529027783,0,0.00%,MMC
Vanguard Total Stock Market Index...,3.10%,15313073,2550392308,50509,+0.33%,MMC
Vanguard 500 Index Fund,2.34%,11555740,1924608497,32160,+0.28%,MMC
Vanguard Dividend Growth Fund,1.78%,8807118,1466825503,0,0.00%,MMC
MFS Value Fund,1.64%,8112448,1351128214,0,0.00%,MMC
Fidelity 500 Index Fund,1.10%,5437538,905621954,9884,+0.18%,MMC
SPDR S&P 500 ETF Trust,1.09%,5376405,895440253,15340,+0.29%,MMC
Vanguard Value Index Fund,0.90%,4425015,736986248,19760,+0.45%,MMC
iShares Core S&P 500 ETF,0.89%,4393320,731707446,592,+0.01%,MMC
American Mutual Fund,0.88%,4340427,722898117,0,0.00%,MMC
Government Pension Fund - Global ...,3.05%,7161859,415531059,-139168,-1.91%,L
Vanguard Total Stock Market Index...,2.63%,6187092,358975078,-23505,-0.38%,L
Vanguard Mid Cap Index Fund,1.99%,4665701,270703972,-39655,-0.84%,L
Vanguard 500 Index Fund,1.94%,4554703,264263868,-20560,-0.45%,L
JPMorgan Mid Cap Value Fund,1.65%,3875377,224849374,0,0.00%,L
T Rowe Price Equity Income Fund,1.21%,2840000,164776800,-120000,-4.05%,L
Allspring Special Mid Cap Value F...,1.16%,2725800,158150916,0,0.00%,L
JPMorgan Value Advantage Fund,1.09%,2555996,148298888,0,0.00%,L
Fidelity 500 Index Fund,0.92%,2160331,125342405,3931,+0.18%,L
JPMorgan Funds - America Equity F...,0.92%,2150816,124790344,0,0.00%,L
Vanguard Total Stock Market Index...,3.10%,2741750,629012285,15284,+0.56%,LH
Vanguard Mid Cap Index Fund,2.34%,2069462,474775972,500,+0.02%,LH
Vanguard 500 Index Fund,2.34%,2068458,474545634,9540,+0.46%,LH
BlackRock Equity Dividend Fund,2.06%,1826533,419043201,140947,+8.36%,LH
Vanguard Health Care Fund,1.68%,1485818,340876366,0,0.00%,LH
Fidelity 500 Index Fund,1.10%,971283,222831746,1765,+0.18%,LH
SPDR S&P 500 ETF Trust,1.09%,960493,220356304,2756,+0.29%,LH
Government Pension Fund - Global ...,1.03%,909891,208747193,-15387,-1.66%,LH
Vanguard Value Index Fund,0.90%,792560,181829115,4413,+0.56%,LH
Vanguard Mid Cap Value Index Fund,0.89%,791419,181567347,8476,+1.08%,LH
Vanguard Total Stock Market Index...,3.10%,4177250,2214443770,-19781,-0.47%,LRCX
Vanguard 500 Index Fund,2.34%,3150233,1670001518,-18480,-0.58%,LRCX
Invesco QQQ Trust,1.33%,1792806,950402317,5775,+0.32%,LRCX
Fidelity 500 Index Fund,1.11%,1495063,792562798,2718,+0.18%,LRCX
Government Pension Fund - Global ...,1.09%,1469190,778847003,85577,+6.19%,LRCX
SPDR S&P 500 ETF Trust,1.09%,1465086,776671390,4160,+0.28%,LRCX
iShares Core S&P 500 ETF,0.89%,1197594,634868531,162,+0.01%,LRCX
Columbia Dividend Income Fund,0.88%,1188477,630035427,-11453,-0.95%,LRCX
Vanguard Growth Index Fund,0.85%,1149163,609194290,-14419,-1.24%,LRCX
Columbia Seligman Technology & In...,0.85%,1146668,607871640,0,0.00%,LRCX
Washington Mutual Investors Fund,3.23%,8196000,861481560,0,0.00%,LEN
Vanguard Total Stock Market Index...,2.88%,7309067,768256032,12444,+0.17%,LEN
American Balanced Fund,2.78%,7053400,741382874,0,0.00%,LEN
Vanguard Mid Cap Index Fund,2.38%,6025274,633316550,-27147,-0.45%,LEN
Vanguard 500 Index Fund,2.31%,5856601,615587331,-1300,-0.02%,LEN
Vanguard Equity Income Fund,1.65%,4177581,439105539,-119400,-2.78%,LEN
Vanguard Windsor Funds - Vanguard...,1.50%,3810222,400492434,-220000,-5.46%,LEN
American Funds Growth Fund of Ame...,1.43%,3629762,381524284,-597909,-14.14%,LEN
Vanguard Wellington Fund,1.41%,3571195,375368306,0,0.00%,LEN
Fidelity 500 Index Fund,1.10%,2792897,293561404,5075,+0.18%,LEN
Vanguard Total Stock Market Index...,3.10%,1927862,684506682,16025,+0.84%,MLM
Vanguard Mid Cap Index Fund,2.34%,1450299,514943163,616,+0.04%,MLM
Vanguard 500 Index Fund,2.33%,1449545,514675448,7520,+0.52%,MLM
T Rowe Price Mid Cap Growth Fund,1.40%,870800,309186248,-1000,-0.11%,MLM
Vanguard Windsor Funds - Vanguard...,1.18%,731000,259548860,0,0.00%,MLM
Fidelity 500 Index Fund,1.10%,680676,241680821,1237,+0.18%,MLM
SPDR S&P 500 ETF Trust,1.09%,674134,239358018,1924,+0.29%,MLM
"Principal Funds, Inc. - Mid Cap F...",1.08%,669042,237550053,-13453,-1.97%,MLM
Pioneer Fund,1.02%,634869,225416587,3722,+0.59%,MLM
SJP Global Quality Fund,0.92%,572514,203276821,-21186,-3.57%,MLM
Canada Pension Plan,3.54%,8202000,574140000,-614423,-6.97%,LYV
"Principal Funds, Inc. - Mid Cap F...",2.24%,5193340,363533800,0,0.00%,LYV
Vanguard Total Stock Market Index...,2.17%,5019686,351378020,45504,+0.91%,LYV
Vanguard Mid Cap Index Fund,1.64%,3786726,265070820,18622,+0.49%,LYV
Vanguard 500 Index Fund,1.44%,3326347,232844290,10140,+0.31%,LYV
BlackRock Mid Cap Growth Equity P...,1.12%,2602799,182195930,0,0.00%,LYV
Victory Sycamore Established Valu...,1.06%,2460000,172200000,190000,+8.37%,LYV
SPDR Series - Communication Servi...,0.73%,1695177,118662390,102342,+6.43%,LYV
Government Pension Fund - Global ...,0.70%,1614533,113017310,742477,+85.14%,LYV
Pioneer Fund,0.69%,1607566,112529620,0,0.00%,LYV
Vanguard Total Stock Market Index...,3.14%,18728312,3745100551,121304,+0.65%,LOW
Vanguard 500 Index Fund,2.37%,14117884,2823153263,-302023,-2.09%,LOW
Pershing Square Holdings Ltd.,1.52%,9056888,1811105893,0,0.00%,LOW
Government Pension Fund - Global ...,1.21%,7185557,1436895833,573240,+8.67%,LOW
Fidelity 500 Index Fund,1.14%,6804470,1360689866,12371,+0.18%,LOW
SPDR S&P 500 ETF Trust,1.10%,6565678,1312938630,18720,+0.29%,LOW
MFS Value Fund,0.94%,5599069,1119645828,0,0.00%,LOW
iShares Core S&P 500 ETF,0.90%,5367020,1073242989,722,+0.01%,LOW
Vanguard Growth Index Fund,0.86%,5149786,1029802706,-9129,-0.18%,LOW
JPMorgan Large Cap Growth Fund,0.82%,4858376,971529449,0,0.00%,LOW
Vanguard Total Stock Market Index...,3.10%,4241853,390504987,40944,+0.97%,LDOS
Vanguard 500 Index Fund,2.33%,3191041,293767234,17555,+0.55%,LDOS
BlackRock Equity Dividend Fund,2.15%,2944495,271070210,159800,+5.74%,LDOS
Victory Sycamore Established Valu...,2.01%,2755000,253625300,-35000,-1.25%,LDOS
Vanguard Small Cap Index Fund,1.31%,1791552,164930277,10340,+0.58%,LDOS
Vanguard Windsor Funds - Vanguard...,1.21%,1662241,153025906,-379595,-18.59%,LDOS
Vanguard Mid Cap Index Fund,1.17%,1599252,147227139,5768,+0.36%,LDOS
Government Pension Fund - Global ...,1.14%,1555815,143228329,131526,+9.23%,LDOS
Fidelity 500 Index Fund,1.09%,1498473,137949424,2726,+0.18%,LDOS
SPDR S&P 500 ETF Trust,1.08%,1473465,135647188,4212,+0.29%,LDOS
Vanguard Total Stock Market Index...,3.09%,8255544,468584677,449835,+5.76%,LKQ
Allspring Special Mid Cap Value F...,2.60%,6955700,394805532,0,0.00%,LKQ
Vanguard Mid Cap Index Fund,2.34%,6237993,354068483,320239,+5.41%,LKQ
Vanguard 500 Index Fund,2.22%,5924804,336291875,31600,+0.54%,LKQ
Eaton Vance Atlanta Capital SMID ...,1.79%,4775826,271075884,0,0.00%,LKQ
Government Pension Fund - Global ...,1.66%,4424901,251157381,-986974,-18.24%,LKQ
MFS Mid Cap Value Fund,1.36%,3624673,205736439,0,0.00%,LKQ
JPMorgan Mid Cap Value Fund,1.26%,3360895,190764400,0,0.00%,LKQ
Fidelity 500 Index Fund,1.04%,2782477,157933395,5060,+0.18%,LKQ
SPDR S&P 500 ETF Trust,1.03%,2751160,156155842,7852,+0.29%,LKQ
Vanguard Total Stock Market Index...,3.11%,15241562,5417460797,15241562,--,LIN
Vanguard 500 Index Fund,2.34%,11499021,4087212024,14285,+0.12%,LIN
Government Pension Fund - Global ...,1.49%,7309122,2597954324,-47148,-0.64%,LIN
American Mutual Fund,1.15%,5657432,2010877630,110331,+1.99%,LIN
Fidelity 500 Index Fund,1.10%,5419669,1926367149,9853,+0.18%,LIN
SPDR S&P 500 ETF Trust,1.10%,5406232,1921591102,15288,+0.28%,LIN
American Funds Investment Company...,1.10%,5380860,1912572878,0,0.00%,LIN
Vanguard Dividend Growth Fund,0.91%,4442957,1579204636,0,0.00%,LIN
iShares Core S&P 500 ETF,0.89%,4371459,1553791387,588,+0.01%,LIN
Vanguard Growth Index Fund,0.85%,4191989,1490000570,-21857,-0.52%,LIN
American Balanced Fund,1.41%,10795405,620196017,-2704595,-20.03%,LVS
Vanguard Total Stock Market Index...,1.39%,10644396,611520550,69357,+0.66%,LVS
American Funds Growth Fund of Ame...,1.25%,9588754,550873917,-2399300,-20.01%,LVS
T Rowe Price Growth Stock Fund,1.01%,7711028,442998559,-1861748,-19.45%,LVS
Vanguard 500 Index Fund,1.00%,7672432,440781218,35200,+0.46%,LVS
CREF Growth Account,0.84%,6445186,370275936,-537832,-7.70%,LVS
Vanguard Mid Cap Index Fund,0.53%,4016568,230751832,7859,+0.20%,LVS
American Funds Insurance Series -...,0.52%,3959100,227450295,-1540900,-28.02%,LVS
Vanguard Windsor Funds - Vanguard...,0.48%,3661580,210357771,-2271411,-38.28%,LVS
Fidelity 500 Index Fund,0.47%,3602202,206946505,6547,+0.18%,LVS
Vanguard Total Stock Market Index...,2.79%,26354447,9577469584,-54040,-0.20%,MA
Vanguard 500 Index Fund,2.08%,19698006,7158452360,-23232,-0.12%,MA
American Funds Growth Fund of Ame...,1.11%,10525013,3824894974,1501585,+16.64%,MA
Government Pension Fund - Global ...,0.99%,9332427,3391497296,876654,+10.37%,MA
Fidelity 500 Index Fund,0.98%,9305947,3381874199,16916,+0.18%,MA
SPDR S&P 500 ETF Trust,0.97%,9160787,3329121604,26156,+0.29%,MA
iShares Core S&P 500 ETF,0.79%,7488377,2721351086,1008,+0.01%,MA
Vanguard Growth Index Fund,0.77%,7248629,2634224265,-74524,-1.02%,MA
Vanguard Institutional Index Fund,0.64%,6043094,2196120791,-67713,-1.11%,MA
American Funds Investment Company...,0.61%,5747953,2088863600,693023,+13.71%,MA
Vanguard Real Estate Index Fund,4.36%,5087191,768369329,-44367,-0.86%,MAA
Vanguard Total Stock Market Index...,3.09%,3607078,544813061,58499,+1.65%,MAA
Stichting Pensioenfonds ABP (Glob...,3.03%,3528967,533015176,-33213,-0.93%,MAA
Government Pension Fund - Global ...,2.94%,3431699,518323817,597355,+21.08%,MAA
Vanguard Mid Cap Index Fund,2.34%,2723448,411349586,31082,+1.15%,MAA
Vanguard 500 Index Fund,2.31%,2696263,407243564,11820,+0.44%,MAA
Canada Pension Plan,1.22%,1421000,214627840,15568,+1.11%,MAA
Fidelity Japan Fidelity US REIT M...,1.14%,1333800,201457152,143500,+12.06%,MAA
Cohen & Steers Real Estate Securi...,1.14%,1325976,200275415,742917,+127.42%,MAA
Fidelity 500 Index Fund,1.09%,1265924,191205161,2301,+0.18%,MAA
Dodge & Cox Stock Fund,9.53%,19065025,985280492,869600,+4.78%,TAP
Vanguard Total Stock Market Index...,2.78%,5567459,287726281,27697,+0.50%,TAP
Vanguard 500 Index Fund,2.19%,4388656,226805742,24165,+0.55%,TAP
American Funds Growth Fund of Ame...,1.29%,2574742,133062667,0,0.00%,TAP
Vanguard Small Cap Index Fund,1.18%,2355020,121707434,8080,+0.34%,TAP
American Funds Insurance Series -...,1.17%,2332249,120530628,711936,+43.94%,TAP
Vanguard Mid Cap Index Fund,1.05%,2102482,108656270,2624,+0.12%,TAP
Fidelity 500 Index Fund,1.03%,2060943,106509534,3750,+0.18%,TAP
SPDR S&P 500 ETF Trust,1.01%,2028700,104843216,5824,+0.29%,TAP
Clarkston Partners Fund (The),0.93%,1854272,95828777,0,0.00%,TAP
Vanguard Total Stock Market Index...,3.10%,230467191,66443691165,1105546,+0.48%,MSFT
Vanguard 500 Index Fund,2.34%,173786331,50102599227,603157,+0.35%,MSFT
Government Pension Fund - Global ...,1.14%,84605733,24391832824,13639969,+19.22%,MSFT
Fidelity 500 Index Fund,1.10%,81720092,23559902524,148549,+0.18%,MSFT
SPDR S&P 500 ETF Trust,1.09%,80822202,23301040837,230672,+0.29%,MSFT
Invesco QQQ Trust,1.02%,75920664,21887927431,244825,+0.32%,MSFT
iShares Core S&P 500 ETF,0.89%,66067086,19047140894,8890,+0.01%,MSFT
Vanguard Growth Index Fund,0.85%,63395120,18276813096,-200485,-0.32%,MSFT
Vanguard Institutional Index Fund,0.71%,52821398,15228409043,-592292,-1.11%,MSFT
American Funds Growth Fund of Ame...,0.55%,41256784,11894330827,-3234343,-7.27%,MSFT
American Funds Small Cap World Fu...,3.73%,2157786,577186177,-14874,-0.68%,MOH
Vanguard Total Stock Market Index...,3.09%,1791495,479206998,-3001,-0.17%,MOH
Vanguard 500 Index Fund,2.36%,1363567,364740537,6060,+0.45%,MOH
Vanguard Mid Cap Index Fund,2.34%,1352393,361751604,-11070,-0.81%,MOH
