Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
"SSgA Funds Management, Inc.",3.25%,3369376,591190713,-55416,-1.62%,JBHT
Fidelity Management & Research Co...,2.26%,2343969,411272801,301123,+14.74%,JBHT
Durable Capital Partners LP,1.93%,2002843,351418833,-289241,-12.62%,JBHT
"Franklin Advisers, Inc.",1.75%,1818344,319046638,2181,+0.12%,JBHT
"The Vanguard Group, Inc.",8.91%,262192217,34166267797,1829389,+0.70%,JPM
BlackRock Fund Advisors,4.44%,130670960,17027732798,1519825,+1.18%,JPM
"SSgA Funds Management, Inc.",4.41%,129737805,16906133370,825193,+0.64%,JPM
Capital Research & Management Co....,1.80%,53067936,6915282740,14077797,+36.11%,JPM
Geode Capital Management LLC,1.74%,51248625,6678208324,1082325,+2.16%,JPM
Capital Research & Management Co....,1.45%,42700392,5564288082,2525447,+6.29%,JPM
Wellington Management Co. LLP,1.36%,40070126,5221538119,1929600,+5.06%,JPM
Fidelity Management & Research Co...,1.18%,34691707,4520676339,4902408,+16.46%,JPM
Morgan Stanley Smith Barney LLC (...,1.15%,33811559,4405984253,765282,+2.32%,JPM
Massachusetts Financial Services ...,1.10%,32217307,4198237275,-653960,-1.99%,JPM
"The Vanguard Group, Inc.",7.26%,163241988,2858367210,1760480,+1.09%,KMI
"SSgA Funds Management, Inc.",6.33%,142233761,2490513155,-810602,-0.57%,KMI
BlackRock Fund Advisors,4.61%,103687088,1815560911,-6441903,-5.85%,KMI
Geode Capital Management LLC,1.76%,39578158,693013547,750210,+1.93%,KMI
"T. Rowe Price Associates, Inc. (I...",1.64%,36803132,644422841,34269435,"+1,352.55%",KMI
Managed Account Advisors LLC,1.55%,34742091,608334013,5275018,+17.90%,KMI
Charles Schwab Investment Managem...,1.31%,29330674,513580102,215632,+0.74%,KMI
Orbis Investment Management Ltd.,1.13%,25415375,445023216,515831,+2.07%,KMI
"Northern Trust Investments, Inc.(...",0.91%,20420236,357558332,1407711,+7.40%,KMI
"Merrill Lynch, Pierce, Fenner & S...",0.89%,20030381,350731971,-109286,-0.54%,KMI
"The Vanguard Group, Inc.",11.13%,20668725,4110802715,199447,+0.97%,IQV
BlackRock Fund Advisors,5.78%,10734905,2135065255,289385,+2.77%,IQV
"SSgA Funds Management, Inc.",4.61%,8556608,1701823765,-55800,-0.65%,IQV
AllianceBernstein LP,2.68%,4978135,990101270,-179023,-3.47%,IQV
Fidelity Management & Research Co...,2.15%,3983380,792254448,2175969,+120.39%,IQV
Geode Capital Management LLC,2.00%,3722660,740399847,90188,+2.48%,IQV
Farallon Capital Management LLC,1.75%,3258112,648005896,50530,+1.58%,IQV
Canada Pension Plan Investment Bo...,1.67%,3092885,615143898,0,0.00%,IQV
Lazard Asset Management LLC,1.53%,2844533,565749168,29537,+1.05%,IQV
Longview Partners LLP,1.33%,2475038,492260308,37686,+1.55%,IQV
"The Vanguard Group, Inc.",15.89%,46217952,2445391840,-42274,-0.09%,IRM
Capital Research & Management Co....,8.76%,25481171,1348208758,801125,+3.25%,IRM
BlackRock Fund Advisors,5.71%,16612522,878968539,-76290,-0.46%,IRM
"SSgA Funds Management, Inc.",4.90%,14248628,753894907,-251936,-1.74%,IRM
Geode Capital Management LLC,2.39%,6944305,367423178,172801,+2.55%,IRM
Dimensional Fund Advisors LP,1.41%,4103133,217096767,54106,+1.34%,IRM
Invesco Capital Management LLC,1.31%,3822457,202246200,191023,+5.26%,IRM
Charles Schwab Investment Managem...,1.29%,3740163,197892024,132442,+3.67%,IRM
Pictet Asset Management SA,1.24%,3615823,191313195,-421167,-10.43%,IRM
"Northern Trust Investments, Inc.(...",1.02%,2962719,156757462,99299,+3.47%,IRM
Dodge & Cox,9.11%,62614115,3770622005,-2190043,-3.38%,JCI
"The Vanguard Group, Inc.",8.24%,56647615,3411319375,-316096,-0.55%,JCI
Wellington Management Co. LLP,8.01%,55028882,3313839274,-10425090,-15.93%,JCI
Massachusetts Financial Services ...,6.03%,41410199,2493722184,1659843,+4.18%,JCI
BlackRock Fund Advisors,4.60%,31635334,1905079813,-124071,-0.39%,JCI
"SSgA Funds Management, Inc.",4.11%,28254183,1701466900,-593949,-2.06%,JCI
Pictet Asset Management SA,1.77%,12183587,733695609,-263855,-2.12%,JCI
Geode Capital Management LLC,1.75%,12026982,724264856,235853,+2.00%,JCI
"Invesco Advisers, Inc.",1.53%,10513851,633144107,-107089,-1.01%,JCI
BlackRock Investment Management (...,1.52%,10412711,627053456,-1269336,-10.87%,JCI
"The Vanguard Group, Inc.",4.94%,69522124,2452740535,3705098,+5.63%,KDP
Capital Research & Management Co....,3.64%,51204714,1806502310,-7195,-0.01%,KDP
BlackRock Fund Advisors,3.28%,46180712,1629255519,4507611,+10.82%,KDP
Capital Research & Management Co....,3.27%,46021370,1623633934,8200020,+21.68%,KDP
"SSgA Funds Management, Inc.",2.57%,36088010,1273184993,329974,+0.92%,KDP
Fidelity Management & Research Co...,2.57%,36075744,1272752248,-1156177,-3.11%,KDP
Capital Research & Management Co....,2.52%,35378640,1248158419,-4367903,-10.99%,KDP
Wellington Management Co. LLP,2.14%,30142179,1063416075,8320563,+38.13%,KDP
"T. Rowe Price Associates, Inc. (I...",1.93%,27097439,955997648,-12636746,-31.80%,KDP
"Boston Partners Global Investors,...",1.49%,20943400,738883152,784704,+3.89%,KDP
"The Vanguard Group, Inc.",10.82%,13711475,1611235427,27167,+0.20%,J
"SSgA Funds Management, Inc.",6.15%,7790794,915496203,-27773,-0.36%,J
Capital Research & Management Co....,6.09%,7720478,907233370,107204,+1.41%,J
PRIMECAP Management Co.,4.82%,6107027,717636743,-196480,-3.12%,J
BlackRock Fund Advisors,4.68%,5929135,696732654,-7843,-0.13%,J
Select Equity Group LP,3.31%,4187875,492117191,-1057330,-20.16%,J
Capital Research & Management Co....,2.88%,3646818,428537583,-404371,-9.98%,J
Allspring Global Investments LLC,2.70%,3414450,401232020,245283,+7.74%,J
Mackenzie Financial Corp.,2.58%,3271522,384436550,300725,+10.12%,J
"Ruane, Cunniff & Goldfarb LP",2.13%,2697117,316938219,-82417,-2.97%,J
"The Vanguard Group, Inc.",11.69%,19605746,2344259049,-148794,-0.75%,MTB
Wellington Management Co. LLP,6.68%,11207528,1340084123,923780,+8.98%,MTB
BlackRock Fund Advisors,5.16%,8661638,1035672056,-399625,-4.41%,MTB
"SSgA Funds Management, Inc.",4.73%,7929473,948127087,1063,+0.01%,MTB
Fidelity Management & Research Co...,3.64%,6102301,729652131,-604139,-9.01%,MTB
"JPMorgan Investment Management, I...",2.91%,4882997,583859951,605081,+14.14%,MTB
State Farm Investment Management ...,2.52%,4228213,505567428,0,0.00%,MTB
Charles Schwab Investment Managem...,2.21%,3712801,443939616,295525,+8.65%,MTB
Geode Capital Management LLC,2.08%,3493676,417738839,-5769,-0.16%,MTB
"Invesco Advisers, Inc.",1.55%,2591561,309872949,-44195,-1.68%,MTB
"The Vanguard Group, Inc.",11.00%,4135852,1618317529,59869,+1.47%,MKTX
BlackRock Fund Advisors,6.62%,2489829,974245189,163984,+7.05%,MKTX
T. Rowe Price Investment Manageme...,5.51%,2071391,810514584,19225,+0.94%,MKTX
GuardCap Asset Management Ltd.,5.06%,1903055,744646391,-51748,-2.65%,MKTX
"SSgA Funds Management, Inc.",4.61%,1735105,678929235,-2204,-0.13%,MKTX
Baillie Gifford & Co.,3.80%,1427303,558489391,7501,+0.53%,MKTX
Ownership Capital BV,3.30%,1240817,485519284,-64926,-4.97%,MKTX
RBC Global Asset Management (UK) ...,2.98%,1120785,438551963,-4607,-0.41%,MKTX
PRIMECAP Management Co.,2.61%,982030,384258519,18150,+1.88%,MKTX
American Century Investment Manag...,2.48%,932496,364876360,927176,"+17,428.12%",MKTX
"The Vanguard Group, Inc.",11.44%,19361350,435049535,832892,+4.50%,LNC
"SSgA Funds Management, Inc.",5.60%,9472352,212843749,28633,+0.30%,LNC
BlackRock Fund Advisors,5.29%,8942879,200946491,-334648,-3.61%,LNC
Millennium Management LLC,3.06%,5175779,116299754,3794705,+274.76%,LNC
Columbia Management Investment Ad...,2.64%,4462189,100265387,1004246,+29.04%,LNC
Dodge & Cox,2.55%,4310762,96862822,20250,+0.47%,LNC
Invesco Capital Management LLC,2.53%,4286083,96308285,1430071,+50.07%,LNC
Lyrical Asset Management LP,2.00%,3384867,76057961,-172100,-4.84%,LNC
Geode Capital Management LLC,1.96%,3315988,74510250,26946,+0.82%,LNC
LSV Asset Management,1.75%,2967976,66690421,-169635,-5.41%,LNC
"The Vanguard Group, Inc.",11.38%,71667989,1717165016,-4528356,-5.94%,MRO
"SSgA Funds Management, Inc.",7.19%,45299261,1085370294,-1377728,-2.95%,MRO
BlackRock Fund Advisors,5.72%,35987314,862256043,-2667705,-6.90%,MRO
Fidelity Management & Research Co...,2.55%,16061656,384837278,258848,+1.64%,MRO
Geode Capital Management LLC,2.35%,14822250,355141110,421238,+2.93%,MRO
Hotchkis & Wiley Capital Manageme...,1.92%,12115995,290299240,-2343319,-16.21%,MRO
Wellington Management Co. LLP,1.52%,9569344,229281482,291152,+3.14%,MRO
"Invesco Advisers, Inc.",1.50%,9469544,226890274,-31291,-0.33%,MRO
Fisher Asset Management LLC,1.30%,8181644,196032190,-141275,-1.70%,MRO
"Northern Trust Investments, Inc.(...",1.28%,8045910,192780004,-512748,-5.99%,MRO
"SSgA Funds Management, Inc.",14.81%,37795804,17867210425,-643086,-1.67%,LMT
"The Vanguard Group, Inc.",8.53%,21783260,10297600500,-143780,-0.66%,LMT
BlackRock Fund Advisors,5.38%,13739847,6495237872,60081,+0.44%,LMT
Capital Research & Management Co....,4.26%,10874833,5140859804,-1503206,-12.14%,LMT
Fidelity Management & Research Co...,2.40%,6135378,2900377242,490272,+8.68%,LMT
Charles Schwab Investment Managem...,2.29%,5849054,2765023297,382510,+7.00%,LMT
Geode Capital Management LLC,1.72%,4387684,2074189857,11855,+0.27%,LMT
Morgan Stanley Smith Barney LLC (...,1.48%,3780275,1787049401,-238844,-5.94%,LMT
Capital Research & Management Co....,1.34%,3428975,1620979352,-210913,-5.79%,LMT
Wellington Management Co. LLP,1.29%,3287401,1554053075,-97435,-2.88%,LMT
"The Vanguard Group, Inc.",7.05%,21721758,3606680698,-178032,-0.81%,MAR
BlackRock Fund Advisors,3.63%,11186846,1857463910,14436,+0.13%,MAR
"SSgA Funds Management, Inc.",3.30%,10180983,1690450417,-582137,-5.41%,MAR
"JPMorgan Investment Management, I...",2.41%,7431816,1233978729,1130475,+17.94%,MAR
Massachusetts Financial Services ...,2.41%,7425037,1232853143,-166356,-2.19%,MAR
Fidelity Management & Research Co...,2.11%,6499738,1079216498,-2734981,-29.62%,MAR
Jennison Associates LLC,1.73%,5314748,882460758,12837,+0.24%,MAR
Geode Capital Management LLC,1.59%,4894345,812657044,-9319,-0.19%,MAR
Eagle Capital Management LLC,1.52%,4672905,775889146,-1714954,-26.85%,MAR
"T. Rowe Price Associates, Inc. (I...",1.06%,3253419,540197691,-208857,-6.03%,MAR
"The Vanguard Group, Inc.",11.32%,16279761,1701560620,479001,+3.03%,LW
BlackRock Fund Advisors,5.58%,8027630,839047888,794600,+10.99%,LW
APG Asset Management NV,4.86%,6984667,730037395,-650779,-8.52%,LW
"SSgA Funds Management, Inc.",4.06%,5844629,610880623,631236,+12.11%,LW
The London Company of Virginia LL...,2.48%,3569088,373041078,-53417,-1.47%,LW
Geode Capital Management LLC,2.07%,2974490,310893695,154606,+5.48%,LW
Thrivent Asset Management LLC,1.90%,2735214,285884567,-12296,-0.45%,LW
Citadel Advisors LLC,1.58%,2267193,236967012,1167605,+106.19%,LW
"Amundi Asset Management US, Inc.",1.52%,2184843,228359790,949269,+76.83%,LW
Point72 Asset Management LP,1.34%,1928598,201577063,1173415,+155.38%,LW
"The Vanguard Group, Inc.",9.40%,41888893,5647879443,-1914772,-4.37%,MPC
"SSgA Funds Management, Inc.",7.31%,32557724,4389757927,-1865128,-5.42%,MPC
BlackRock Fund Advisors,6.54%,29158176,3931396870,-1728398,-5.60%,MPC
Elliott Investment Management LP,2.48%,11065000,1491893950,0,0.00%,MPC
Geode Capital Management LLC,1.89%,8434836,1137268938,-608274,-6.73%,MPC
"Boston Partners Global Investors,...",1.55%,6884999,928304415,-1074421,-13.50%,MPC
Columbia Management Investment Ad...,1.38%,6154957,829872852,86327,+1.42%,MPC
Wellington Management Co. LLP,1.30%,5806933,782948776,-159561,-2.67%,MPC
Dimensional Fund Advisors LP,1.26%,5594517,754308727,123745,+2.26%,MPC
"Northern Trust Investments, Inc.(...",0.99%,4390495,591970441,-180610,-3.95%,MPC
"The Vanguard Group, Inc.",9.59%,31253510,2934392054,-1798,-0.01%,LYB
BlackRock Fund Advisors,5.32%,17353623,1629331663,-360725,-2.04%,LYB
Dodge & Cox,5.08%,16568492,1555615714,2130359,+14.76%,LYB
Wellington Management Co. LLP,3.68%,11992094,1125937706,1388425,+13.09%,LYB
"SSgA Funds Management, Inc.",3.65%,11908386,1118078362,-211415,-1.74%,LYB
Capital Research & Management Co....,3.24%,10555593,991064627,-1708291,-13.93%,LYB
Geode Capital Management LLC,1.73%,5653467,530804017,39965,+0.71%,LYB
Charles Schwab Investment Managem...,1.70%,5539617,520114640,464166,+9.15%,LYB
Dimensional Fund Advisors LP,1.43%,4662363,437749262,270339,+6.16%,LYB
Morgan Stanley Smith Barney LLC (...,1.16%,3790545,355894270,-87389,-2.25%,LYB
"The Vanguard Group, Inc.",8.42%,41638490,6934890510,166376,+0.40%,MMC
BlackRock Fund Advisors,5.48%,27119863,4516813183,2117519,+8.47%,MMC
"SSgA Funds Management, Inc.",4.42%,21867910,3642100411,-146204,-0.66%,MMC
Capital Research & Management Co....,4.12%,20395185,3396818062,-7265,-0.04%,MMC
Capital Research & Management Co....,3.48%,17192269,2863372402,-15250,-0.09%,MMC
Fidelity Management & Research Co...,3.22%,15927209,2652676659,-1337875,-7.75%,MMC
Wellington Management Co. LLP,2.97%,14690553,2446711602,-475836,-3.14%,MMC
Massachusetts Financial Services ...,2.60%,12878546,2144921836,-278738,-2.12%,MMC
Geode Capital Management LLC,2.08%,10306370,1716525924,65306,+0.64%,MMC
"T. Rowe Price Associates, Inc. (I...",1.86%,9188078,1530274391,735798,+8.71%,MMC
"The Vanguard Group, Inc.",9.87%,23190409,1345507530,741026,+3.30%,L
"JPMorgan Investment Management, I...",5.41%,12705588,737178216,-80532,-0.63%,L
BlackRock Fund Advisors,4.17%,9797547,568453677,155800,+1.62%,L
"T. Rowe Price Associates, Inc. (I...",3.93%,9235767,535859201,-1698597,-15.53%,L
"SSgA Funds Management, Inc.",3.75%,8800210,510588184,33939,+0.39%,L
Norges Bank Investment Management,3.07%,7210165,418333773,-137904,-1.88%,L
Invesco Capital Management LLC,2.11%,4960641,287816391,180055,+3.77%,L
Geode Capital Management LLC,1.71%,4013258,232849229,-4241,-0.11%,L
Allspring Global Investments LLC,1.37%,3207438,186095553,1015,+0.03%,L
Dimensional Fund Advisors LP,1.15%,2690064,156077513,-81171,-2.93%,L
"The Vanguard Group, Inc.",11.39%,10082018,2313016570,-170791,-1.67%,LH
BlackRock Fund Advisors,5.89%,5213600,1196104112,-39625,-0.75%,LH
"SSgA Funds Management, Inc.",4.51%,3989497,915270402,-192005,-4.59%,LH
Wellington Management Co. LLP,3.04%,2690075,617157007,-82844,-2.99%,LH
BlackRock Advisors LLC,2.79%,2470502,566782569,141247,+6.06%,LH
"JPMorgan Investment Management, I...",2.19%,1933672,443623030,12800,+0.67%,LH
Geode Capital Management LLC,2.05%,1816854,416822645,-20461,-1.11%,LH
Lazard Asset Management LLC,1.73%,1530675,351167459,1288574,+532.25%,LH
Dimensional Fund Advisors LP,1.65%,1460547,335078693,-19982,-1.35%,LH
BlackRock Investment Management L...,1.62%,1431141,328332368,333707,+30.41%,LH
"The Vanguard Group, Inc.",8.31%,11215795,5945717245,124912,+1.13%,LRCX
BlackRock Fund Advisors,5.30%,7147042,3788789905,36376,+0.51%,LRCX
"SSgA Funds Management, Inc.",4.15%,5604594,2971107371,-41005,-0.73%,LRCX
Columbia Management Investment Ad...,3.05%,4113716,2180763126,-372400,-8.30%,LRCX
Fidelity Management & Research Co...,2.77%,3741162,1983264799,-330203,-8.11%,LRCX
"T. Rowe Price Associates, Inc. (I...",2.51%,3389485,1796833788,2831381,+507.32%,LRCX
Fisher Asset Management LLC,1.96%,2641859,1400502293,373106,+16.45%,LRCX
Janus Henderson Investors US LLC,1.91%,2574586,1364839530,-83650,-3.15%,LRCX
Geode Capital Management LLC,1.87%,2523525,1337771073,50208,+2.03%,LRCX
Sands Capital Management LLC,1.75%,2358306,1250185177,-38572,-1.61%,LRCX
"The Vanguard Group, Inc.",10.72%,27182751,2857178958,221619,+0.82%,LEN
Capital Research & Management Co....,10.17%,25775720,2709285929,8668319,+50.67%,LEN
Wellington Management Co. LLP,5.85%,14837834,1559604732,-2544286,-14.64%,LEN
BlackRock Fund Advisors,5.81%,14722167,1547446973,-577224,-3.77%,LEN
Aristotle Capital Management LLC,5.40%,13699782,1439984086,-945755,-6.46%,LEN
"SSgA Funds Management, Inc.",4.32%,10956842,1151673663,-463182,-4.06%,LEN
"Greenhaven Associates, Inc.",3.59%,9101388,956646893,-162877,-1.76%,LEN
Fidelity Management & Research Co...,3.19%,8095752,850944493,-907205,-10.08%,LEN
Manulife Investment Management (U...,2.84%,7209506,757791176,-2948811,-29.03%,LEN
Geode Capital Management LLC,2.06%,5217882,548451577,43201,+0.83%,LEN
"The Vanguard Group, Inc.",10.87%,6749487,2396472854,37559,+0.56%,MLM
Select Equity Group LP,5.81%,3610893,1282083669,-315297,-8.03%,MLM
Aristotle Capital Management LLC,5.32%,3302718,1172663053,-187415,-5.37%,MLM
Baillie Gifford & Co.,4.85%,3009821,1068667044,-138530,-4.40%,MLM
BlackRock Fund Advisors,4.82%,2994547,1063243858,13860,+0.46%,MLM
"SSgA Funds Management, Inc.",4.07%,2524320,896285059,11101,+0.44%,MLM
T. Rowe Price Investment Manageme...,2.85%,1766621,627256452,3655,+0.21%,MLM
"JPMorgan Investment Management, I...",2.79%,1731023,614617026,-89337,-4.91%,MLM
"Amundi Asset Management US, Inc.",2.27%,1411730,501248854,283808,+25.16%,MLM
Geode Capital Management LLC,2.03%,1259007,447023025,24646,+2.00%,MLM
"The Vanguard Group, Inc.",7.55%,17487242,1224106940,1769191,+11.26%,LYV
Select Equity Group LP,4.60%,10650078,745505460,402043,+3.92%,LYV
Canada Pension Plan Investment Bo...,3.52%,8145775,570204250,20851,+0.26%,LYV
BlackRock Fund Advisors,3.29%,7612488,532874160,619375,+8.86%,LYV
Principal Global Investors LLC,3.09%,7165661,501596270,157401,+2.25%,LYV
"T. Rowe Price Associates, Inc. (I...",2.85%,6606439,462450730,323756,+5.15%,LYV
"SSgA Funds Management, Inc.",2.71%,6266615,438663050,118052,+1.92%,LYV
"Victory Capital Management, Inc. ...",1.87%,4332479,303273530,239038,+5.84%,LYV
"Amundi Asset Management US, Inc.",1.45%,3355711,234899770,248797,+8.01%,LYV
William Blair Investment Manageme...,1.43%,3320937,232465590,561532,+20.35%,LYV
"The Vanguard Group, Inc.",8.64%,51540896,10306632973,-836781,-1.60%,LOW
BlackRock Fund Advisors,4.78%,28516618,5702468101,-1160908,-3.91%,LOW
"SSgA Funds Management, Inc.",4.30%,25632108,5125652637,-1400859,-5.18%,LOW
Fidelity Management & Research Co...,3.08%,18354898,3670428953,-1060653,-5.46%,LOW
"JPMorgan Investment Management, I...",2.42%,14440919,2887750572,1161798,+8.75%,LOW
Geode Capital Management LLC,1.84%,10959694,2191610009,-44986,-0.41%,LOW
Pershing Square Capital Managemen...,1.74%,10374801,2074648956,0,0.00%,LOW
Wells Fargo Clearing Services LLC,1.48%,8809276,1761590922,-115282,-1.29%,LOW
Massachusetts Financial Services ...,1.35%,8066261,1613010212,149907,+1.89%,LOW
Norges Bank Investment Management,1.23%,7334203,1466620574,559086,+8.25%,LOW
"The Vanguard Group, Inc.",10.78%,14765891,1359347925,235716,+1.62%,LDOS
BlackRock Fund Advisors,5.13%,7028347,647029625,175453,+2.56%,LDOS
"SSgA Funds Management, Inc.",4.04%,5535589,509606323,-9634,-0.17%,LDOS
"JPMorgan Investment Management, I...",3.70%,5069027,466654626,-1216272,-19.35%,LDOS
Wellington Management Co. LLP,3.44%,4709133,433522784,-466120,-9.01%,LDOS
"Victory Capital Management, Inc. ...",3.22%,4404667,405493644,-41862,-0.94%,LDOS
"Boston Partners Global Investors,...",3.01%,4116421,378957717,-20774,-0.50%,LDOS
Geode Capital Management LLC,2.13%,2914321,268292391,54374,+1.90%,LDOS
BlackRock Advisors LLC,2.00%,2734265,251716436,-425886,-13.48%,LDOS
Invesco Capital Management LLC,1.69%,2319187,213504355,853897,+58.27%,LDOS
"The Vanguard Group, Inc.",10.29%,27481013,1559822298,-492636,-1.76%,LKQ
Massachusetts Financial Services ...,5.44%,14518975,824097021,-42480,-0.29%,LKQ
BlackRock Fund Advisors,4.97%,13269597,753182326,-314722,-2.32%,LKQ
"Boston Partners Global Investors,...",4.55%,12138181,688963154,762017,+6.70%,LKQ
"SSgA Funds Management, Inc.",3.96%,10580190,600531584,-383373,-3.50%,LKQ
Allspring Global Investments LLC,3.10%,8284520,470229355,-4819,-0.06%,LKQ
Wellington Management Co. LLP,2.60%,6933057,393520315,2305406,+49.82%,LKQ
Nordea Investment Management AB (...,2.45%,6537151,371048691,3762612,+135.61%,LKQ
Lazard Asset Management LLC,2.28%,6088626,345590412,7427,+0.12%,LKQ
ValueAct Capital Management LP,2.27%,6052751,343554147,-6500000,-51.78%,LKQ
"The Vanguard Group, Inc.",9.09%,44612913,15857213797,243230,+0.55%,LIN
BlackRock Fund Advisors,4.45%,21831751,7759877575,-588287,-2.62%,LIN
"SSgA Funds Management, Inc.",4.00%,19611463,6970698409,-320591,-1.61%,LIN
Capital Research & Management Co....,2.59%,12697605,4513236721,369665,+3.00%,LIN
Capital Research & Management Co....,2.42%,11855099,4213776389,5231,+0.04%,LIN
Massachusetts Financial Services ...,2.25%,11057870,3930409313,494438,+4.68%,LIN
Fidelity Management & Research Co...,2.15%,10527770,3741990569,-263975,-2.45%,LIN
